Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers,Model,Dataset
Layer 16,16,0.937,0.9371,0.7306,0.1034,0.7295,0.2064,0.4833,0.9333,24,wav2vec2,RAVDESS
Layer 17,17,0.9383,0.9384,0.7142,0.1052,0.7136,0.2241,0.4333,0.8667,24,wav2vec2,RAVDESS
Layer 18,18,0.9326,0.9328,0.69,0.1149,0.6895,0.2426,0.3833,0.8833,24,wav2vec2,RAVDESS
Layer 19,19,0.9262,0.9265,0.6632,0.1222,0.6623,0.263,0.3833,0.9167,24,wav2vec2,RAVDESS
Layer 20,20,0.921,0.9211,0.6792,0.1131,0.6792,0.2418,0.3833,0.85,24,wav2vec2,RAVDESS
Layer 21,21,0.9132,0.9131,0.6559,0.1148,0.6567,0.2573,0.3667,0.85,24,wav2vec2,RAVDESS
Layer 22,22,0.8968,0.8968,0.6524,0.1065,0.6534,0.2444,0.3667,0.8,24,wav2vec2,RAVDESS
Layer 23,23,0.8705,0.8705,0.5846,0.098,0.5856,0.2859,0.3333,0.75,24,wav2vec2,RAVDESS
Layer 24,24,0.8333,0.8333,0.5324,0.0937,0.5322,0.3009,0.3167,0.7,24,wav2vec2,RAVDESS
CNN,0,0.8766,0.8772,0.7925,0.0361,0.7913,0.0841,0.7324,0.8406,10,wav2vec2,EmoDB
Layer 1,1,0.9121,0.911,0.8523,0.0435,0.8525,0.0598,0.7632,0.9275,10,wav2vec2,EmoDB
Layer 2,2,0.9308,0.9291,0.8841,0.0382,0.8833,0.0467,0.8372,0.9483,10,wav2vec2,EmoDB
Layer 3,3,0.9421,0.9416,0.886,0.0381,0.8854,0.0561,0.8158,0.942,10,wav2vec2,EmoDB
Layer 4,4,0.9514,0.9509,0.9047,0.0287,0.9041,0.0467,0.8571,0.9565,10,wav2vec2,EmoDB
Layer 5,5,0.957,0.9566,0.9215,0.0396,0.9217,0.0355,0.8684,1.0,10,wav2vec2,EmoDB
Layer 6,6,0.9701,0.9701,0.929,0.0437,0.9289,0.0411,0.8684,1.0,10,wav2vec2,EmoDB
Layer 7,7,0.9757,0.9756,0.957,0.0348,0.9571,0.0187,0.8684,1.0,10,wav2vec2,EmoDB
Layer 8,8,0.9738,0.9735,0.9439,0.0291,0.944,0.0299,0.8684,0.9718,10,wav2vec2,EmoDB
Layer 9,9,0.9664,0.9661,0.9252,0.0371,0.9247,0.0412,0.8684,0.9718,10,wav2vec2,EmoDB
Layer 10,10,0.9533,0.9532,0.9234,0.0225,0.923,0.0299,0.8776,0.9565,10,wav2vec2,EmoDB
