Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,SNR,Exp_ID,Setup
Layer 12,12,0.6107,0.0052,0.6085,WavLM,clean,7,4-Class (A/H/N/S)
Layer 13,13,0.6141,0.0129,0.6124,WavLM,clean,7,4-Class (A/H/N/S)
Layer 14,14,0.6137,0.0148,0.612,WavLM,clean,7,4-Class (A/H/N/S)
Layer 15,15,0.615,0.0059,0.6141,WavLM,clean,7,4-Class (A/H/N/S)
Layer 16,16,0.6172,0.0051,0.617,WavLM,clean,7,4-Class (A/H/N/S)
Layer 17,17,0.6267,0.0094,0.627,WavLM,clean,7,4-Class (A/H/N/S)
Layer 18,18,0.6255,0.0052,0.6258,WavLM,clean,7,4-Class (A/H/N/S)
Layer 19,19,0.6222,0.0107,0.6226,WavLM,clean,7,4-Class (A/H/N/S)
Layer 20,20,0.6232,0.0101,0.6239,WavLM,clean,7,4-Class (A/H/N/S)
Layer 21,21,0.6175,0.0057,0.6181,WavLM,clean,7,4-Class (A/H/N/S)
Layer 22,22,0.6298,0.0073,0.6286,WavLM,clean,7,4-Class (A/H/N/S)
Layer 23,23,0.6149,0.0042,0.6139,WavLM,clean,7,4-Class (A/H/N/S)
Layer 24,24,0.6135,0.0087,0.6123,WavLM,clean,7,4-Class (A/H/N/S)
CNN,0,0.5642,0.0066,0.5325,WavLM,0,7,4-Class (A/H/N/S)
Layer 1,1,0.5591,0.0041,0.5441,WavLM,0,7,4-Class (A/H/N/S)
Layer 2,2,0.5548,0.0079,0.5471,WavLM,0,7,4-Class (A/H/N/S)
Layer 3,3,0.5537,0.0051,0.5489,WavLM,0,7,4-Class (A/H/N/S)
Layer 4,4,0.5526,0.0059,0.5478,WavLM,0,7,4-Class (A/H/N/S)
Layer 5,5,0.551,0.008,0.5469,WavLM,0,7,4-Class (A/H/N/S)
Layer 6,6,0.5584,0.0101,0.555,WavLM,0,7,4-Class (A/H/N/S)
Layer 7,7,0.5655,0.0093,0.5616,WavLM,0,7,4-Class (A/H/N/S)
Layer 8,8,0.5695,0.0035,0.5661,WavLM,0,7,4-Class (A/H/N/S)
Layer 9,9,0.5668,0.0062,0.5642,WavLM,0,7,4-Class (A/H/N/S)
Layer 10,10,0.5661,0.0082,0.5629,WavLM,0,7,4-Class (A/H/N/S)
Layer 11,11,0.5668,0.009,0.5645,WavLM,0,7,4-Class (A/H/N/S)
Layer 12,12,0.5672,0.0074,0.5638,WavLM,0,7,4-Class (A/H/N/S)
Layer 13,13,0.564,0.0056,0.5611,WavLM,0,7,4-Class (A/H/N/S)
Layer 14,14,0.5617,0.0094,0.5602,WavLM,0,7,4-Class (A/H/N/S)
Layer 15,15,0.5657,0.0032,0.563,WavLM,0,7,4-Class (A/H/N/S)
Layer 16,16,0.5695,0.0051,0.5678,WavLM,0,7,4-Class (A/H/N/S)
Layer 17,17,0.5796,0.0083,0.5777,WavLM,0,7,4-Class (A/H/N/S)
Layer 18,18,0.5765,0.0067,0.5747,WavLM,0,7,4-Class (A/H/N/S)
Layer 19,19,0.5757,0.0129,0.5743,WavLM,0,7,4-Class (A/H/N/S)
Layer 20,20,0.5774,0.0112,0.5766,WavLM,0,7,4-Class (A/H/N/S)
Layer 21,21,0.5758,0.0126,0.5734,WavLM,0,7,4-Class (A/H/N/S)
Layer 22,22,0.5819,0.0083,0.5762,WavLM,0,7,4-Class (A/H/N/S)
Layer 23,23,0.5771,0.0039,0.5727,WavLM,0,7,4-Class (A/H/N/S)
