Model,Dataset,Metric,Layer_CNN,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24
Whisper,RAVDESS,centroid_transfer,0.25734024179620035,0.27763385146804836,0.29620034542314333,0.32426597582037997,0.34974093264248707,0.3544905008635579,0.3700345423143351,0.3765112262521589,0.24093264248704663,0.24006908462867013,0.2392055267702936,0.24136442141623488,0.23618307426597582,0.22884283246977546,0.22452504317789293,0.22538860103626943,0.22409326424870465,0.22452504317789293,0.22409326424870465,0.22150259067357514,0.2189119170984456,0.22582037996545767,0.23402417962003455,0.23359240069084627,0.6101036269430051
Whisper,EmoDB,cka,0.030638293223022358,0.23516623939408135,0.2203440716152368,0.21405519411253932,0.21159864445294438,0.20922862431575,0.20774134815325793,0.20390022849353062,0.06752943246334293,0.06683662037365608,0.0668050599790873,0.06751719948196591,0.06635821350701218,0.06457321365767496,0.06397597367992788,0.06368625592904939,0.06415822741131347,0.06446410900464333,0.06455859434421755,0.06415807620837741,0.06501275600118038,0.06541390362102657,0.0677907248222431,0.06949782490054235,0.17441095428731498
Whisper,EmoDB,procrustes,0.6708630919456482,0.6319939196109772,0.652016282081604,0.6573452353477478,0.662860780954361,0.6870709359645844,0.6855617463588715,0.6944067180156708,0.4898907542228699,0.49926382303237915,0.4974833130836487,0.5059310793876648,0.5049221515655518,0.49626803398132324,0.4958759546279907,0.49169039726257324,0.49533140659332275,0.498241662979126,0.49760472774505615,0.49790340662002563,0.5010146200656891,0.5095168352127075,0.543530136346817,0.5554057359695435,0.7505241632461548
Whisper,EmoDB,centroid_transfer,0.3401869158878505,0.6373831775700934,0.6934579439252336,0.7495327102803738,0.7607476635514019,0.8037383177570093,0.8317757009345794,0.8074766355140187,0.3663551401869159,0.36074766355140186,0.3514018691588785,0.36822429906542054,0.35700934579439253,0.3383177570093458,0.33457943925233646,0.32897196261682243,0.33457943925233646,0.33457943925233646,0.3364485981308411,0.32897196261682243,0.33271028037383177,0.3383177570093458,0.40373831775700936,0.4224299065420561,0.7140186915887851
Whisper,IEMOCAP,cka,0.1087386185253706,0.10411492306954215,0.10446174817445145,0.10119332890553578,0.09702261051769141,0.09162748811874392,0.09000857714784898,0.0843733179134586,0.012665197347775242,0.012505741194771604,0.012917569471672816,0.013391401063792538,0.013250013375484137,0.012584602180178033,0.0122590225896659,0.012097238883843136,0.011903630100011367,0.011933608451173562,0.011779345583390805,0.011784534361483157,0.011697113215767727,0.012217397441847886,0.01324508851123135,0.01386440781579711,0.03094399959375394
Whisper,IEMOCAP,procrustes,0.6045182049274445,0.6182252764701843,0.6451667845249176,0.6558270454406738,0.6707817018032074,0.6820273399353027,0.6928856372833252,0.7064082026481628,0.5663557648658752,0.5670476257801056,0.5710472762584686,0.5784786641597748,0.5777860283851624,0.5630320012569427,0.5567842125892639,0.551666647195816,0.5486974716186523,0.5494376122951508,0.5473412275314331,0.5506275296211243,0.5465497374534607,0.5549718141555786,0.5702997744083405,0.5675598680973053,0.8487170487642288
Whisper,IEMOCAP,centroid_transfer,0.4195970695970696,0.43534798534798536,0.445970695970696,0.4490842490842491,0.4503663003663004,0.44633699633699636,0.45384615384615384,0.45567765567765567,0.35824175824175825,0.3565934065934066,0.3578754578754579,0.3556776556776557,0.35274725274725277,0.34194139194139195,0.3384615384615385,0.336996336996337,0.3342490842490842,0.3344322344322344,0.3326007326007326,0.33315018315018313,0.3302197802197802,0.3346153846153846,0.34194139194139195,0.3435897435897436,0.4562271062271062
Whisper,SAVEE,cka,0.07223437427947405,0.0716926661553999,0.07480972857517229,0.08576335054824004,0.09067976802809316,0.09657489579308208,0.10018721332934745,0.10093339912356322,0.04390715132845343,0.044823044866635194,0.04498065081227724,0.04678602602704268,0.04700479319628311,0.043803731279544726,0.043239212314813036,0.042742678925122714,0.04296393994775909,0.04292015840532637,0.04224023494754791,0.04230580292711081,0.04253931799612488,0.0431095320691327,0.04747454786586545,0.04911881917085736,0.12722179113218102
Whisper,SAVEE,procrustes,0.5255733132362366,0.6051024794578552,0.622658759355545,0.647129476070404,0.6575325131416321,0.6795191168785095,0.680623859167099,0.684926837682724,0.6281082034111023,0.6311976909637451,0.6349575221538544,0.6519575119018555,0.6533835530281067,0.6381455063819885,0.6334177851676941,0.6275923848152161,0.6235163509845734,0.6223448514938354,0.6202933192253113,0.6209664940834045,0.6198070347309113,0.628650426864624,0.6631799638271332,0.6684690117835999,0.7807020992040634
Whisper,SAVEE,centroid_transfer,0.2375,0.3229166666666667,0.375,0.4354166666666667,0.4583333333333333,0.48333333333333334,0.4875,0.48541666666666666,0.3333333333333333,0.34375,0.34791666666666665,0.35,0.35833333333333334,0.33958333333333335,0.3375,0.3375,0.3375,0.3333333333333333,0.33125,0.32708333333333334,0.33125,0.33125,0.35208333333333336,0.35208333333333336,0.5666666666666667
Whisper,AESDD,cka,0.06074384045060252,0.06429650314891508,0.06092015527422858,0.06377807617776118,0.06779381438741877,0.07622252026609572,0.08356378882817116,0.08058509391159464,0.02740186828722242,0.027491243054967193,0.027541194689701176,0.027417437808292193,0.02774743026131818,0.02734500263734455,0.02699794726336829,0.026966607237097855,0.027241391614699264,0.0272168677834591,0.027158474864014612,0.026703009307977848,0.027065125502939956,0.027181432852525476,0.027319354662477074,0.028328936542522054,0.03908458118164489
Whisper,AESDD,procrustes,0.7860309034585953,0.5691243410110474,0.6138530969619751,0.6684381365776062,0.6773024797439575,0.6864835619926453,0.6944359540939331,0.6943434178829193,0.5937145352363586,0.5986610651016235,0.5963954329490662,0.6066576540470123,0.6076130270957947,0.5998469293117523,0.5992254912853241,0.5942111313343048,0.599950522184372,0.6019687354564667,0.6001684963703156,0.5961966216564178,0.5958390235900879,0.5987590551376343,0.6127046942710876,0.6200105249881744,0.7168883681297302
Whisper,AESDD,centroid_transfer,0.40066225165562913,0.5314569536423841,0.5562913907284768,0.5811258278145696,0.6059602649006622,0.6788079470198676,0.7119205298013245,0.6937086092715232,0.2897350993377483,0.2897350993377483,0.28807947019867547,0.28807947019867547,0.28807947019867547,0.28807947019867547,0.2897350993377483,0.2897350993377483,0.28807947019867547,0.28642384105960267,0.28642384105960267,0.2913907284768212,0.2847682119205298,0.28807947019867547,0.2913907284768212,0.29304635761589404,0.5182119205298014
Whisper,MESD,cka,0.01686861722019615,0.07384376073812866,0.07220189931603804,0.06904437419482103,0.07135043987779889,0.072946581776724,0.07883584297572305,0.08013176596445884,0.009622395751822813,0.010663771180215026,0.010778777215941981,0.012397870489944523,0.012726244978393,0.012121983885321755,0.012202040090129013,0.012203703376342391,0.012419089333184063,0.012600284471432204,0.012196065444779152,0.011952587801903683,0.011939722746047944,0.012172836803629175,0.014589647261337393,0.015461043907371397,0.08226720091587354
