feature,mi,monosemanticity,dominant_emotion
7691,0.010065001637296622,0.5493567585945129,anger
7359,0.009978297274315115,0.6283297538757324,anger
7304,0.009916073748360737,0.6994918584823608,fear
598,0.009860196567993484,0.5741954445838928,fear
3530,0.009711296626222166,0.5603492259979248,happiness
3455,0.00970382741381423,0.560042679309845,anger
7518,0.009443138473133572,0.5228694677352905,anger
1671,0.009380016809591612,0.540860116481781,anger
3474,0.009373716630836472,0.5442724823951721,sadness
6084,0.009364798876000979,0.6458595991134644,anger
5015,0.009285652570978922,0.5323694944381714,anger
1864,0.009282175795735575,0.5431326031684875,fear
2370,0.009281830794747812,0.6514165997505188,disgust
5688,0.009168985566508244,0.5423941612243652,sadness
5897,0.009094148458249192,0.594422459602356,anger
6558,0.00909036023629339,0.5511956214904785,neutral
1471,0.009069666547223437,0.7147156000137329,disgust
662,0.009060409336594234,0.551332950592041,sadness
6687,0.009051087307638653,0.5771054625511169,anger
1177,0.009019863071687898,0.6861247420310974,anger
3731,0.008933500518241981,0.565377414226532,anger
4917,0.008898505565110707,0.7382598519325256,disgust
5241,0.008792242419732211,0.5513788461685181,anger
1693,0.008785319512895757,0.5080313086509705,fear
2524,0.0087536652725468,0.6875119805335999,anger
3611,0.00868099719312512,0.5303803086280823,disgust
3661,0.008677220263886634,0.6284615993499756,disgust
7745,0.00865586260269624,0.6912403106689453,anger
3470,0.008641871719793658,0.5763688087463379,disgust
530,0.008609865485901272,0.5547826290130615,anger
6148,0.008517834176492368,0.5149178504943848,disgust
4760,0.008517632532401707,0.5553508400917053,disgust
2613,0.008472971075446152,0.6594173312187195,anger
5810,0.008454660234110659,0.7357717156410217,anger
6407,0.00841799207039782,0.5240494012832642,anger
1947,0.00830744396034357,0.5006070733070374,fear
7183,0.008284973066242153,0.5615175366401672,disgust
5815,0.008090894009233828,0.5605919361114502,anger
7106,0.00808169979527567,0.5054136514663696,disgust
5817,0.00807809142510947,0.5515261292457581,fear
121,0.008075085023185727,0.7504864931106567,anger
