file,step,metric,value
step1_HuBERT_CREMA-D_L2_metrics.json,step1,final_fvu,0.13018178525156804
step1_HuBERT_CREMA-D_L2_metrics.json,step1,final_recon_mse,0.1296609342098236
step1_HuBERT_CREMA-D_L2_metrics.json,step1,explained_variance,0.8698182147484319
step1_HuBERT_CREMA-D_L2_metrics.json,step1,dead_features,37
step1_HuBERT_CREMA-D_L2_metrics.json,step1,alive_features,8155
step1_HuBERT_CREMA-D_L2_metrics.json,step1,dead_frac,0.0045166015625
step1_HuBERT_CREMA-D_L2_metrics.json,step1,median_density_alive,0.0008018947688596822
step1_HuBERT_CREMA-D_L3_metrics.json,step1,tag,HuBERT_CREMA-D_L3
step1_HuBERT_CREMA-D_L3_metrics.json,step1,d_in,1024
step1_HuBERT_CREMA-D_L3_metrics.json,step1,d_sae,8192
step1_HuBERT_CREMA-D_L3_metrics.json,step1,k,32
step1_HuBERT_CREMA-D_L3_metrics.json,step1,expansion,8
step1_HuBERT_CREMA-D_L3_metrics.json,step1,n_frames,940273
step1_HuBERT_CREMA-D_L3_metrics.json,step1,n_utterances,7442
step1_HuBERT_CREMA-D_L3_metrics.json,step1,final_fvu,0.13511194843860957
step1_HuBERT_CREMA-D_L3_metrics.json,step1,final_recon_mse,0.13415484130382538
step1_HuBERT_CREMA-D_L3_metrics.json,step1,explained_variance,0.8648880515613904
step1_HuBERT_CREMA-D_L3_metrics.json,step1,dead_features,10
step1_HuBERT_CREMA-D_L3_metrics.json,step1,alive_features,8182
step1_HuBERT_CREMA-D_L3_metrics.json,step1,dead_frac,0.001220703125
step1_HuBERT_CREMA-D_L3_metrics.json,step1,median_density_alive,0.0009869474078273012
step1_HuBERT_CREMA-D_L4_metrics.json,step1,tag,HuBERT_CREMA-D_L4
step1_HuBERT_CREMA-D_L4_metrics.json,step1,d_in,1024
step1_HuBERT_CREMA-D_L4_metrics.json,step1,d_sae,8192
step1_HuBERT_CREMA-D_L4_metrics.json,step1,k,32
step1_HuBERT_CREMA-D_L4_metrics.json,step1,expansion,8
step1_HuBERT_CREMA-D_L4_metrics.json,step1,n_frames,940273
step1_HuBERT_CREMA-D_L4_metrics.json,step1,n_utterances,7442
step1_HuBERT_CREMA-D_L4_metrics.json,step1,final_fvu,0.13404879877841988
step1_HuBERT_CREMA-D_L4_metrics.json,step1,final_recon_mse,0.1336136758327484
step1_HuBERT_CREMA-D_L4_metrics.json,step1,explained_variance,0.8659512012215801
step1_HuBERT_CREMA-D_L4_metrics.json,step1,dead_features,11
step1_HuBERT_CREMA-D_L4_metrics.json,step1,alive_features,8181
step1_HuBERT_CREMA-D_L4_metrics.json,step1,dead_frac,0.0013427734375
step1_HuBERT_CREMA-D_L4_metrics.json,step1,median_density_alive,0.0010879818946199667
step1_HuBERT_CREMA-D_L5_metrics.json,step1,tag,HuBERT_CREMA-D_L5
step1_HuBERT_CREMA-D_L5_metrics.json,step1,d_in,1024
step1_HuBERT_CREMA-D_L5_metrics.json,step1,d_sae,8192
step1_HuBERT_CREMA-D_L5_metrics.json,step1,k,32
step1_HuBERT_CREMA-D_L5_metrics.json,step1,expansion,8
step1_HuBERT_CREMA-D_L5_metrics.json,step1,n_frames,940273
step1_HuBERT_CREMA-D_L5_metrics.json,step1,n_utterances,7442
step1_HuBERT_CREMA-D_L5_metrics.json,step1,final_fvu,0.14085122422018015
step1_HuBERT_CREMA-D_L5_metrics.json,step1,final_recon_mse,0.14003229141235352
step1_HuBERT_CREMA-D_L5_metrics.json,step1,explained_variance,0.8591487757798199
step1_HuBERT_CREMA-D_L5_metrics.json,step1,dead_features,3
step1_HuBERT_CREMA-D_L5_metrics.json,step1,alive_features,8189
step1_HuBERT_CREMA-D_L5_metrics.json,step1,dead_frac,0.0003662109375
step1_HuBERT_CREMA-D_L5_metrics.json,step1,median_density_alive,0.0012081597578575585
step1_HuBERT_CREMA-D_L6_metrics.json,step1,tag,HuBERT_CREMA-D_L6
step1_HuBERT_CREMA-D_L6_metrics.json,step1,d_in,1024
step1_HuBERT_CREMA-D_L6_metrics.json,step1,d_sae,8192
step1_HuBERT_CREMA-D_L6_metrics.json,step1,k,32
step1_HuBERT_CREMA-D_L6_metrics.json,step1,expansion,8
step1_HuBERT_CREMA-D_L6_metrics.json,step1,n_frames,940273
step1_HuBERT_CREMA-D_L6_metrics.json,step1,n_utterances,7442
step1_HuBERT_CREMA-D_L6_metrics.json,step1,final_fvu,0.1414539789124559
step1_HuBERT_CREMA-D_L6_metrics.json,step1,final_recon_mse,0.14093339443206787
step1_HuBERT_CREMA-D_L6_metrics.json,step1,explained_variance,0.8585460210875441
step1_HuBERT_CREMA-D_L6_metrics.json,step1,dead_features,1
step1_HuBERT_CREMA-D_L6_metrics.json,step1,alive_features,8191
step1_HuBERT_CREMA-D_L6_metrics.json,step1,dead_frac,0.0001220703125
step1_HuBERT_CREMA-D_L6_metrics.json,step1,median_density_alive,0.0013262105792679361
step1_HuBERT_CREMA-D_L7_metrics.json,step1,tag,HuBERT_CREMA-D_L7
step1_HuBERT_CREMA-D_L7_metrics.json,step1,d_in,1024
step1_HuBERT_CREMA-D_L7_metrics.json,step1,d_sae,8192
step1_HuBERT_CREMA-D_L7_metrics.json,step1,k,32
step1_HuBERT_CREMA-D_L7_metrics.json,step1,expansion,8
step1_HuBERT_CREMA-D_L7_metrics.json,step1,n_frames,940273
step1_HuBERT_CREMA-D_L7_metrics.json,step1,n_utterances,7442
step1_HuBERT_CREMA-D_L7_metrics.json,step1,final_fvu,0.13859150250751884
step1_HuBERT_CREMA-D_L7_metrics.json,step1,final_recon_mse,0.13841262459754944
step1_HuBERT_CREMA-D_L7_metrics.json,step1,explained_variance,0.8614084974924812
step1_HuBERT_CREMA-D_L7_metrics.json,step1,dead_features,0
step1_HuBERT_CREMA-D_L7_metrics.json,step1,alive_features,8192
step1_HuBERT_CREMA-D_L7_metrics.json,step1,dead_frac,0.0
step1_HuBERT_CREMA-D_L7_metrics.json,step1,median_density_alive,0.001409696970986086
step1_HuBERT_CREMA-D_L8_metrics.json,step1,tag,HuBERT_CREMA-D_L8
step1_HuBERT_CREMA-D_L8_metrics.json,step1,d_in,1024
step1_HuBERT_CREMA-D_L8_metrics.json,step1,d_sae,8192
step1_HuBERT_CREMA-D_L8_metrics.json,step1,k,32
step1_HuBERT_CREMA-D_L8_metrics.json,step1,expansion,8
step1_HuBERT_CREMA-D_L8_metrics.json,step1,n_frames,940273
step1_HuBERT_CREMA-D_L8_metrics.json,step1,n_utterances,7442
step1_HuBERT_CREMA-D_L8_metrics.json,step1,final_fvu,0.13477896845064677
step1_HuBERT_CREMA-D_L8_metrics.json,step1,final_recon_mse,0.13486793637275696
step1_HuBERT_CREMA-D_L8_metrics.json,step1,explained_variance,0.8652210315493533
step1_HuBERT_CREMA-D_L8_metrics.json,step1,dead_features,1
step1_HuBERT_CREMA-D_L8_metrics.json,step1,alive_features,8191
step1_HuBERT_CREMA-D_L8_metrics.json,step1,dead_frac,0.0001220703125
step1_HuBERT_CREMA-D_L8_metrics.json,step1,median_density_alive,0.0014506425261599557
step1_HuBERT_CREMA-D_L9_metrics.json,step1,tag,HuBERT_CREMA-D_L9
step1_HuBERT_CREMA-D_L9_metrics.json,step1,d_in,1024
step1_HuBERT_CREMA-D_L9_metrics.json,step1,d_sae,8192
step1_HuBERT_CREMA-D_L9_metrics.json,step1,k,32
step1_HuBERT_CREMA-D_L9_metrics.json,step1,expansion,8
step1_HuBERT_CREMA-D_L9_metrics.json,step1,n_frames,940273
step1_HuBERT_CREMA-D_L9_metrics.json,step1,n_utterances,7442
step1_HuBERT_CREMA-D_L9_metrics.json,step1,final_fvu,0.12771763657639684
step1_HuBERT_CREMA-D_L9_metrics.json,step1,final_recon_mse,0.12772256135940552
step1_HuBERT_CREMA-D_L9_metrics.json,step1,explained_variance,0.8722823634236032
step1_HuBERT_CREMA-D_L9_metrics.json,step1,dead_features,0
step1_HuBERT_CREMA-D_L9_metrics.json,step1,alive_features,8192
step1_HuBERT_CREMA-D_L9_metrics.json,step1,dead_frac,0.0
step1_HuBERT_CREMA-D_L9_metrics.json,step1,median_density_alive,0.001499564488185878
step1_MERT_CREMA-D_L9_metrics.json,step1,tag,MERT_CREMA-D_L9
step1_MERT_CREMA-D_L9_metrics.json,step1,d_in,1024
step1_MERT_CREMA-D_L9_metrics.json,step1,d_sae,8192
step1_MERT_CREMA-D_L9_metrics.json,step1,k,32
step1_MERT_CREMA-D_L9_metrics.json,step1,expansion,8
step1_MERT_CREMA-D_L9_metrics.json,step1,n_frames,1412526
step1_MERT_CREMA-D_L9_metrics.json,step1,n_utterances,7442
step1_MERT_CREMA-D_L9_metrics.json,step1,final_fvu,0.22328159131051842
step1_MERT_CREMA-D_L9_metrics.json,step1,final_recon_mse,0.2235042154788971
